volume,case_index,status,start_line,end_line,start_page,end_page,case_numbers,case_numbers_corrected,date_of_decision,date_corrected,division,division_corrected,ponente_name,ponente_name_corrected,ponente_title,doc_type,has_syllabus,has_counsel,has_decision,has_resolution,has_so_ordered,ocr_error_count,notes
Volume_121.txt,0,corrected,2599,3227,49,61,No. L-12752,,"January 80, 1965","January 30, 1965",,,,"BENGZON, J.P., J.:",J.,RESOLUTION,True,True,False,True,True,1,
Volume_121.txt,5,flagged,5189,5265,101,103,"No. L-17996, No L-18056",,"January 30, 1965",,,,REGALA,,J.,RESOLUTION,False,False,False,True,False,0, [FLAG: No. L-17996 and No L-18056 are two separate cases.]
Volume_121.txt,24,corrected,14964,15235,299,304,No. L-19639,,"February 26, 1965",,,,,"REYES, J. B. L., J",J.,,True,True,False,False,True,0,
Volume_121.txt,47,corrected,25134,25908,506,522,No. L-18536,,"March 31, 1965",,,,,"REGALA, J.",J.,,True,True,False,False,True,0,
Volume_121.txt,60,corrected,31120,31930,627,644,No. 1-19392,No. L-19392,"April 14, 1965",,,,,"BENGZON, J. P., J.",J.,,True,True,False,False,True,2,
Volume_121.txt,71,corrected,34954,35275,706,713,No. 1-19970,,"April 80, 1965",,,,,"PAREDES, J.",J.,,True,True,False,False,False,1,
Volume_121.txt,90,corrected,46848,47669,946,963,No. L-21997,,"May 27, 1965",,,,PAREDES,,J.,RESOLUTION,False,False,False,True,False,1,
Volume_121.txt,95,corrected,49883,51035,1007,1031,No. L-18452,,"May 81, 1965","May 31, 1965",,,REGALA,,J.,RESOLUTION,False,False,False,True,False,1,
Volume_121.txt,118,corrected,60480,61252,1223,1239,No. L-19915,,"June 28, 1965",,,,,,,,True,True,False,False,False,1,
Volume_121.txt,138,corrected,69341,69564,1405,1409,No. L-19848,,"June 30, 1965",,,,,BAUTISTA ANGELO,J.,,True,True,False,False,True,0,
Volume_251.txt,0,verified,802,1202,24,32,G.R. No. 78315,,"January 2, 1989",,FIRST DIVISION,,GANCAYCO,,J.,DECISION,True,False,True,False,True,0,
Volume_251.txt,12,corrected,7072,7141,152,154,G.R. No. 66712,,"January 13, 1989",,,THIRD DIVISION,,BIDIN,J.,DECISION,True,True,False,False,True,0,
Volume_251.txt,35,corrected,17005,17193,358,362,G.R. No. 72306,,"January 24, 1989",,SECOND DIVISION,,MELENCIO-HERRERA,,J.,RESOLUTION,True,True,False,True,True,0,
Volume_251.txt,37,verified,17552,18153,369,382,G.R. No. 83882,,"January 24, 1989",,EN BANC,,PADILLA,,J.,DECISION,True,True,True,True,True,0,
Volume_251.txt,39,verified,18308,18879,386,398,G.R. No. L-34613,,"January 26, 1989",,THIRD DIVISION,,GUTIERREZ,,J.,DECISION,True,False,True,False,False,0,
Volume_251.txt,42,verified,19593,20057,413,423,G.R. No. L-49410,,"January 26, 1989",,FIRST DIVISION,,NARVASA,,J.,DECISION,True,True,True,False,True,0,
Volume_251.txt,45,verified,20869,21120,440,445,G.R. No. 74246,,"January 26, 1989",,FIRST DIVISION,,NARVASA,,J.,DECISION,True,True,True,False,True,0,
Volume_251.txt,57,verified,25717,25732,541,542,"G.R. No. 79404, G.R. No. 80045",,"January 27, 1989",,SECOND DIVISION,,,REGALADO,J.,,True,True,False,False,False,0,
Volume_251.txt,82,verified,36803,37422,774,787,G.R. No. 77116,,"January 31, 1989",,FIRST DIVISION,,GANCAYCO,,J.,DECISION,True,True,True,False,True,0,
Volume_251.txt,84,verified,37805,38356,795,807,G.R. No. 79576,,"January 31, 1989",,THIRD DIVISION,,CORTES,,J.,DECISION,True,True,True,False,True,0,
Volume_421.txt,0,corrected,458,460,18,18,A.M. No. 00-888-,"A.M. No. MTJ-01-1382. November 16, 2001, A.M. No. 00-888-MTJ",,"November 16, 2001",SECOND DIVISION,,,BUENA,J.,RESOLUTION,False,False,False,False,False,1,
Volume_421.txt,1,unreviewed,461,756,18,24,A.M. No. 00-888-,,,,,,,,,RESOLUTION,True,False,False,True,True,0,"this is the same case as case no. A.M. No. MTJ-01-1382. November 16, 2001, A.M. No. 00-888-MTJ"
Volume_421.txt,2,corrected,757,1087,24,31,No. 98-489-,"A.M. No. P-00-1411. November 16, 2001 (Formerly OCA LP.I. No. 98-489-P)",,"November 16, 2001",SECOND DIVISION,,QUISUMBING,,J.,DECISION,True,False,True,False,True,0,
Volume_421.txt,14,corrected,12051,13448,251,279,G.R. No. 132724,,"November 19, 2001",,FIRST DIVISION,,KAPUNAN,,J.,DECISION,True,True,True,False,True,0,
Volume_421.txt,15,corrected,13449,13844,279,287,G.R. Nos. 138358-59,,"November 19, 2001",,EN BANC,,YNARES-SANTIAGO,,J.,DECISION,True,True,True,False,True,0,
Volume_421.txt,27,corrected,32810,34242,666,694,,A.M. No. MTJ-99-1207,,"November 21, 2001",EN BANC,,PANGANIBAN,,J.,DECISION,True,True,True,True,True,0,
Volume_421.txt,30,verified,35383,35805,717,726,,"G.R. No, 132839",,"November 21, 2001",SECOND DIVISION,,QUISUMBING,,J.,DECISION,True,True,True,False,True,0,
Volume_421.txt,36,verified,42143,42780,853,866,,"G.R. Nos, 111502-04",,"November 22, 2001",EN BANC,,SANDOVAL-GUTIERREZ,,J.,DECISION,True,True,True,False,True,0,
Volume_421.txt,41,verified,45066,46073,913,934,G.R. No. 129660,,"November 22, 2001",,SECOND DIVISION,,BUENA,,J.,DECISION,True,True,True,True,True,0,
Volume_421.txt,48,verified,51265,51934,1036,1050,G.R. No. 141602,,"November 22, 2001",,THIRD DIVISION,,SANDOVAL-GUTIERREZ,,J.,DECISION,True,True,True,False,True,0,
Volume_676.txt,0,verified,304,910,15,30,G.R. No. 169157,,"November 14, 2011",,THIRD DIVISION,,PERALTA,,J.,DECISION,True,True,True,False,True,0,
Volume_676.txt,3,verified,2238,2274,60,61,A.C. No. 6246,"[A.C. No. 6246. November 15, 2011] (Formerly CBD No. 00-730)","November 15, 2011","November 15, 2011",,EN BANC,,PER CURIAM,,DECISION,False,False,False,False,True,0,
Volume_676.txt,6,verified,3844,3858,98,98,"G.R. No. 191805, G.R. No. 193160",,"November 15, 2011",,EN BANC,,,SERENO,J.,DECISION,True,True,False,False,False,0,
Volume_676.txt,7,verified,3859,4079,98,103,G.R. No. 193160,,"November 15, 2011",,,,SERENO,,J.,DECISION,True,True,True,False,False,0,
Volume_676.txt,11,verified,6580,7024,160,171,A.C. No. 6899,,"November 16, 2011",,SECOND DIVISION,,BRION,,J.,DECISION,True,True,True,False,True,0,
Volume_676.txt,13,verified,7370,8146,180,198,OCA IPI No. 06-2444-,"[A.M. No. P-07-2369. November 16, 2011] (Formerly OCA IPI No. 06-2444-P)",,"November 16, 2011",THIRD DIVISION,,MENDOZA,,J.,DECISION,True,True,True,False,True,0,
Volume_676.txt,14,verified,8147,8473,198,206,No. 10-3386-,"[A.M. No. P-11-3009. November 16, 2011] (Formerly A.M. OCA I.P.I. No. 10-3386-P)",,"November 16, 2011",SECOND DIVISION,,SERENO,,J.,RESOLUTION,True,False,False,True,True,0,
Volume_676.txt,19,verified,11467,12205,276,293,G.R. No. 174179,,"November 16, 2011",,SECOND DIVISION,,BRION,,J.,DECISION,True,True,True,False,True,0,
Volume_676.txt,32,verified,21827,22567,514,532,A.C. No. 4808,,"November 22, 2011",,EN BANC,,BERSAMIN,,J.,DECISION,True,False,True,False,True,0,
Volume_676.txt,33,verified,22568,32923,532,771,G.R. No. 171101,,"November 22, 2011",,EN BANC,,VELASCO,,J.,RESOLUTION,True,True,False,True,True,0,
Volume_813.txt,2,verified,1309,1939,41,56,G.R. No. 167952,,"July 5, 2017",,SPECIAL THIRD DIVISION,,VELASCO,,J.,RESOLUTION,True,True,False,True,True,0,
Volume_813.txt,22,verified,11067,11070,271,271,"G.R. No. 221135, G.R. No. 221218","G.R. No. 220926, G.R. No. 221058, G.R. No. 221109, G.R. No. 221135, G.R. No. 221218","July 5, 2017",,,THIRD DIVISION,,"VELASCO, JR.",J.,DECISION,True,True,False,False,False,0,
Volume_813.txt,23,unreviewed,11071,15774,271,374,G.R. No. 221218,,"July 5, 2017",,,,,,,DECISION,True,True,True,False,True,0,THIS IS NOT A SEPARATE CASE. THIS IS A CITATION WITHIN A CASE.
Volume_813.txt,34,verified,22036,22311,522,529,A.C. No. 5161,,"July 11, 2017",,EN BANC,,,PER CURIAM,,RESOLUTION,True,True,False,True,True,0,
Volume_813.txt,37,verified,23894,24366,563,574,OCA IPI No. 12-2497-,"[A.M. No. MTJ-16-1883. July 11, 2017] (Formerly OCA IPI No. 12-2497-MTJ)",,"July 11, 2017",EN BANC,,CAGUIOA,,J.,DECISION,True,False,True,False,True,0,
Volume_813.txt,38,verified,24367,24919,574,587,A.M. No. 14-12-07-,"[A.M. No. SB-17-24-P. July 11, 2017] (Formerly A.M. No. 14-12-07-SB)",,"July 11, 2017",EN BANC,,,PER CURIAM,,RESOLUTION,True,False,False,True,True,0,
Volume_813.txt,41,verified,26257,27532,618,641,A.M. No. 06-9-297-,"[A.M. No. P-06-2253. July 12, 2017] (Formerly A.M. No. 06-9-297-MTC), [A.M. No. P-07-2360. July 12, 2017] (Formerly OCA IPI No. 06-2427-P), [A.M. No. P-13-3157. July 12, 2017], (Formerly A.M. No. 12-4-30-MTC)",,"July 12, 2017",FIRST DIVISION,,LEONARDO-DE CASTRO,,J.,DECISION,True,False,True,False,True,0,
Volume_813.txt,52,verified,34926,35426,814,826,A.C. No. 11668,,"July 17, 2017",,FIRST DIVISION,,PERLAS-BERNABE,,J.,RESOLUTION,True,True,False,True,True,0,
Volume_813.txt,56,verified,37255,37752,869,881,G.R. No. 219885,,"July 17, 2017",,SECOND DIVISION,,,CARPIO,ACTING C.J.,DECISION,True,True,True,False,True,0,
Volume_813.txt,59,verified,38567,39024,901,912,A.C. No. 7824,,"July 19, 2017",,THIRD DIVISION,,TIJAM,,J.,DECISION,True,True,True,False,True,0,
Volume_813.txt,62,verified,40278,40644,942,951,G.R. No. 196888,,"July 19, 2017",,THIRD DIVISION,,TIJAM,,J.,DECISION,True,True,True,False,True,0,
Volume_813.txt,68,verified,44914,45860,1051,1074,G.R. No. 217453,,"July 19, 2017",,FIRST DIVISION,,CAGUIOA,,J.,DECISION,True,True,True,False,True,0,
Volume_960.txt,0,verified,325,702,16,26,G.R. No. 226859,,"November 4, 2024",,FIRST DIVISION,,ROSARIO,,J.,DECISION,False,True,True,False,True,0,
Volume_960.txt,1,verified,703,1240,26,39,G.R. No. 261113,,"November 4, 2024",,FIRST DIVISION,,ROSARIO,,J.,DECISION,False,True,True,False,True,0,
Volume_960.txt,6,verified,5488,6336,143,163,G.R. No. 271967,,"November 4, 2024",,SECOND DIVISION,,KHO,,J.,DECISION,False,True,True,False,True,0,
Volume_960.txt,7,verified,6337,6958,163,179,A.C. No. 12354,,"November 5, 2024",,EN BANC,,,PER CURIAM,,DECISION,False,True,True,False,True,0,
Volume_960.txt,8,verified,6959,10648,179,268,G.R. No. 248680,,"November 5, 2024",,EN BANC,,SINGH,,J.,DECISION,False,True,True,False,True,0,
Volume_960.txt,11,verified,15211,18554,375,457,G.R. No. 259520,,"November 5, 2024",,EN BANC,,ROSARIO,,J.,DECISION,False,True,True,False,True,0,
Volume_960.txt,14,verified,20635,21610,507,530,G.R. No. 196517,,"November 11, 2024",,SECOND DIVISION,,KHO,,J.,DECISION,False,True,True,False,True,0,
Volume_960.txt,17,verified,23959,24576,587,602,G.R. No. 259992,,"November 11, 2024",,THIRD DIVISION,,INTING,,J.,DECISION,False,True,True,False,True,0,
Volume_960.txt,20,verified,26068,26080,633,633,"G.R. No. 272145, G.R. No. 272914",,"November 11, 2024",,SECOND DIVISION,,,"KHO, JR",J.,DECISION,False,False,False,False,False,0,
Volume_960.txt,21,verified,26081,35186,633,836,G.R. No. 272914,,"November 11, 2024",,,,KHO,,J.,DECISION,False,True,True,False,True,0,this is the same case as G.R. No. 272145
